scope,metric,baseline,vcomp,delta_percent,verdict,primary
D,operation_latency_p99_us,2977.791,3454.975,16.024764666156877,outside_10pct,False
D,point_lookup_latency_p50_us,407.807,571.391,40.1130927129745,outside_10pct,True
D,point_lookup_latency_p95_us,1197.055,1584.127,32.33535635371807,outside_10pct,True
D,point_lookup_latency_p99_us,2977.791,3467.263,16.43741955026392,outside_10pct,True
D,point_lookup_hit_latency_p50_us,390.399,542.207,38.88534550549565,outside_10pct,False
D,point_lookup_hit_latency_p95_us,1115.135,1445.887,29.66026534903845,outside_10pct,False
D,point_lookup_hit_latency_p99_us,2686.975,3098.623,15.320127652843807,outside_10pct,False
D,point_lookup_miss_latency_p50_us,490.495,701.951,43.110735073752025,outside_10pct,False
D,point_lookup_miss_latency_p95_us,1490.943,2035.711,36.53848604540886,outside_10pct,False
D,point_lookup_miss_latency_p99_us,4077.567,4603.903,12.908089554383784,outside_10pct,False
D,scan_latency_p50_us,0.0,0.0,,undefined_zero_baseline,False
D,scan_latency_p95_us,0.0,0.0,,undefined_zero_baseline,False
D,scan_latency_p99_us,0.0,0.0,,undefined_zero_baseline,False
E,throughput_ops_per_second,22925.312441,17472.463475,-23.78527655853464,outside_10pct,True
E,point_reads,0,0,,undefined_zero_baseline,False
E,writes,48056,48056,0.0,within_10pct,False
E,scans,911944,911944,0.0,within_10pct,False
E,point_read_hits,0,0,,undefined_zero_baseline,False
E,point_read_misses,0,0,,undefined_zero_baseline,False
E,point_hit_fraction,0,0,,undefined_zero_baseline,False
E,disk_read_bytes,145795764224,236800057344,62.419024039807766,outside_10pct,False
E,disk_write_bytes,15425536,15761408,2.1773765268189083,within_10pct,False
E,operation_latency_p50_us,1866.751,2342.911,25.50741903981839,outside_10pct,False
E,operation_latency_p95_us,3719.167,5079.039,36.56388648318292,outside_10pct,False
E,operation_latency_p99_us,6078.463,8822.783,45.14825540601299,outside_10pct,False
E,point_lookup_latency_p50_us,0.0,0.0,,undefined_zero_baseline,False
E,point_lookup_latency_p95_us,0.0,0.0,,undefined_zero_baseline,False
E,point_lookup_latency_p99_us,0.0,0.0,,undefined_zero_baseline,False
E,point_lookup_hit_latency_p50_us,0.0,0.0,,undefined_zero_baseline,False
E,point_lookup_hit_latency_p95_us,0.0,0.0,,undefined_zero_baseline,False
E,point_lookup_hit_latency_p99_us,0.0,0.0,,undefined_zero_baseline,False
E,point_lookup_miss_latency_p50_us,0.0,0.0,,undefined_zero_baseline,False
E,point_lookup_miss_latency_p95_us,0.0,0.0,,undefined_zero_baseline,False
E,point_lookup_miss_latency_p99_us,0.0,0.0,,undefined_zero_baseline,False
E,scan_latency_p50_us,1879.039,2369.535,26.103556126296468,outside_10pct,True
E,scan_latency_p95_us,3737.599,5128.191,37.205489406434445,outside_10pct,True
