scope,metric,baseline,vcomp,delta_percent,verdict,primary
C,operation_latency_p50_us,1268.735,981.503,-22.639243025533297,outside_10pct,False
C,operation_latency_p95_us,3356.671,2660.351,-20.7443624948647,outside_10pct,False
C,operation_latency_p99_us,4550.655,3788.799,-16.741677846375957,outside_10pct,False
C,point_lookup_latency_p50_us,1268.735,980.479,-22.719953339349818,outside_10pct,True
C,point_lookup_latency_p95_us,3354.623,2658.303,-20.757026944607492,outside_10pct,True
C,point_lookup_latency_p99_us,4550.655,3788.799,-16.741677846375957,outside_10pct,True
C,point_lookup_hit_latency_p50_us,1259.519,898.559,-28.65855933892224,outside_10pct,False
C,point_lookup_hit_latency_p95_us,3282.943,2533.375,-22.83219659920992,outside_10pct,False
C,point_lookup_hit_latency_p99_us,4476.927,3645.439,-18.572739738664488,outside_10pct,False
C,point_lookup_miss_latency_p50_us,1285.119,1169.407,-9.003991070087668,within_10pct,False
C,point_lookup_miss_latency_p95_us,3442.687,2856.959,-17.01368727392296,outside_10pct,False
C,point_lookup_miss_latency_p99_us,4636.671,4018.175,-13.339225491737505,outside_10pct,False
C,scan_latency_p50_us,0.0,0.0,,undefined_zero_baseline,False
C,scan_latency_p95_us,0.0,0.0,,undefined_zero_baseline,False
C,scan_latency_p99_us,0.0,0.0,,undefined_zero_baseline,False
C,disk_read_latency_avg_ms,0.1129986217108299,0.11239221655236606,-0.5366482787866778,within_10pct,False
C,disk_write_latency_avg_ms,0.3591549295774648,0.35233160621761656,-1.8998272884283351,within_10pct,False
D,throughput_ops_per_second,83888.780765,103798.881746,23.733925799654564,outside_10pct,True
D,point_reads,23908800,29582361,23.73001154386669,outside_10pct,False
D,writes,1257947,1557394,23.804421012967957,outside_10pct,False
D,scans,0,0,,undefined_zero_baseline,False
D,point_read_hits,21265717,26524575,24.72927670390799,outside_10pct,False
D,point_read_misses,2643083,3057786,15.69012399534937,outside_10pct,False
D,point_hit_fraction,0.8894514572040421,0.8966348223524147,0.8076174467073427,within_10pct,False
D,disk_read_bytes,1966544433152,1593309675520,-18.97921813207012,outside_10pct,True
D,disk_write_bytes,3317211136,4654600192,40.31666967127896,outside_10pct,True
D,disk_read_bytes_per_operation,78140.58897449082,51166.41654759326,-34.520052614017715,outside_10pct,False
D,disk_write_bytes_per_operation,131.80929327099764,149.47452836414416,13.402116538799058,outside_10pct,False
D,scan_requested_rows,0,0,,undefined_zero_baseline,False
D,scan_returned_rows,0,0,,undefined_zero_baseline,False
D,scan_returned_bytes,0,0,,undefined_zero_baseline,False
D,scan_cql_requests,0,0,,undefined_zero_baseline,False
D,empty_scans,0,0,,undefined_zero_baseline,False
D,operation_latency_p50_us,399.871,354.815,-11.267633811904332,outside_10pct,False
D,operation_latency_p95_us,1645.567,1133.567,-31.11389569674161,outside_10pct,False
D,operation_latency_p99_us,2543.615,1959.935,-22.946868924738993,outside_10pct,False
D,point_lookup_latency_p50_us,399.103,353.791,-11.35346013435129,outside_10pct,True
D,point_lookup_latency_p95_us,1675.263,1155.071,-31.051363278482246,outside_10pct,True
D,point_lookup_latency_p99_us,2566.143,1981.439,-22.785324122622942,outside_10pct,True
D,point_lookup_hit_latency_p50_us,379.903,339.967,-10.512157050615556,outside_10pct,False
D,point_lookup_hit_latency_p95_us,1354.751,974.335,-28.080141664409176,outside_10pct,False
D,point_lookup_hit_latency_p99_us,2306.047,1760.255,-23.667861062675644,outside_10pct,False
D,point_lookup_miss_latency_p50_us,948.223,626.687,-33.909323017897684,outside_10pct,False
D,point_lookup_miss_latency_p95_us,2445.311,1867.775,-23.61810011078346,outside_10pct,False
D,point_lookup_miss_latency_p99_us,3428.351,2713.599,-20.848273703596853,outside_10pct,False
D,scan_latency_p50_us,0.0,0.0,,undefined_zero_baseline,False
D,scan_latency_p95_us,0.0,0.0,,undefined_zero_baseline,False
D,scan_latency_p99_us,0.0,0.0,,undefined_zero_baseline,False
D,disk_read_latency_avg_ms,0.11180868660787278,0.11175531217683313,-0.04773728469492644,within_10pct,False
D,disk_write_latency_avg_ms,0.4161196510178646,0.35357361026267564,-15.030782757362193,outside_10pct,False
E,throughput_ops_per_second,14214.758883,16369.117635,15.155788217952004,outside_10pct,True
E,point_reads,0,0,,undefined_zero_baseline,False
E,writes,213925,246319,15.142690195161856,outside_10pct,False
E,scans,4050546,4664468,15.156524577180463,outside_10pct,False
E,point_read_hits,0,0,,undefined_zero_baseline,False
E,point_read_misses,0,0,,undefined_zero_baseline,False
E,point_hit_fraction,0,0,,undefined_zero_baseline,False
E,disk_read_bytes,2172692029440,2004704026624,-7.731790817095141,within_10pct,True
E,disk_write_bytes,471277568,485134336,2.940256218602788,within_10pct,True
E,disk_read_bytes_per_operation,509486.88112546667,408224.593455998,-19.875347417342383,outside_10pct,False
E,disk_write_bytes_per_operation,110.5125507946941,98.78952925467955,-10.60786440609187,outside_10pct,False
E,scan_requested_rows,204504700,235507385,15.159888745833229,outside_10pct,False
E,scan_returned_rows,204504700,235507385,15.159888745833229,outside_10pct,False
E,scan_returned_bytes,209412812800,241159562240,15.159888745833229,outside_10pct,False
E,scan_cql_requests,4164788,4797692,15.196547819480855,outside_10pct,False
E,empty_scans,0,0,,undefined_zero_baseline,False
E,disk_read_bytes_per_scan,536394.8537900817,429781.922959703,-19.87583029126183,outside_10pct,False
E,returned_rows_per_scan,50.488181099535716,50.48965605509567,0.00292138779380835,within_10pct,False
E,operation_latency_p50_us,3166.207,2707.455,-14.489008457122354,outside_10pct,False
E,operation_latency_p95_us,6189.055,5316.607,-14.096627029489973,outside_10pct,False
E,operation_latency_p99_us,9084.927,7729.151,-14.923356015959177,outside_10pct,False
E,point_lookup_latency_p50_us,0.0,0.0,,undefined_zero_baseline,False
E,point_lookup_latency_p95_us,0.0,0.0,,undefined_zero_baseline,False
E,point_lookup_latency_p99_us,0.0,0.0,,undefined_zero_baseline,False
E,point_lookup_hit_latency_p50_us,0.0,0.0,,undefined_zero_baseline,False
E,point_lookup_hit_latency_p95_us,0.0,0.0,,undefined_zero_baseline,False
E,point_lookup_hit_latency_p99_us,0.0,0.0,,undefined_zero_baseline,False
E,point_lookup_miss_latency_p50_us,0.0,0.0,,undefined_zero_baseline,False
E,point_lookup_miss_latency_p95_us,0.0,0.0,,undefined_zero_baseline,False
E,point_lookup_miss_latency_p99_us,0.0,0.0,,undefined_zero_baseline,False
E,scan_latency_p50_us,3258.367,2768.895,-15.022003353213442,outside_10pct,True
E,scan_latency_p95_us,6238.207,5361.663,-14.051216960257984,outside_10pct,True
E,scan_latency_p99_us,9207.807,7823.359,-15.03558882152939,outside_10pct,True
E,disk_read_latency_avg_ms,0.11389012187428083,0.11447377454604454,0.5124699685614464,within_10pct,False
E,disk_write_latency_avg_ms,0.37923637923637926,0.33798056611744826,-10.87865388916608,outside_10pct,False
F,throughput_ops_per_second,31718.257834,37692.248911,18.834549830149427,outside_10pct,True
F,point_reads,9516927,11307885,18.818658585906988,outside_10pct,False
F,writes,4755958,5651041,18.820246099734273,outside_10pct,False
F,scans,0,0,,undefined_zero_baseline,False
F,point_read_hits,7784266,9288148,19.319509379561282,outside_10pct,False
F,point_read_misses,1732661,2019737,16.568503590719708,outside_10pct,False
F,point_hit_fraction,0.8179390259061565,0.8213868464350318,0.42152537287918346,within_10pct,False
F,disk_read_bytes,2275236188160,2125729914880,-6.5710221232419315,within_10pct,True
F,disk_write_bytes,10868920320,14219214848,30.824538494730636,outside_10pct,True
F,disk_read_bytes_per_operation,239072.56913497392,187986.51691983073,-21.368429008809198,outside_10pct,False
F,disk_write_bytes_per_operation,1142.0619618076298,1257.4601570497048,10.104372538546457,outside_10pct,False
F,scan_requested_rows,0,0,,undefined_zero_baseline,False
F,scan_returned_rows,0,0,,undefined_zero_baseline,False
F,scan_returned_bytes,0,0,,undefined_zero_baseline,False
F,scan_cql_requests,0,0,,undefined_zero_baseline,False
F,empty_scans,0,0,,undefined_zero_baseline,False
F,operation_latency_p50_us,1193.983,1032.191,-13.55061169212627,outside_10pct,False
F,operation_latency_p95_us,3401.727,2840.575,-16.496091544089218,outside_10pct,False
F,operation_latency_p99_us,5099.519,4423.679,-13.253014647067696,outside_10pct,False
F,point_lookup_latency_p50_us,843.263,725.503,-13.964801017001815,outside_10pct,True
F,point_lookup_latency_p95_us,3055.615,2512.895,-17.761399914583475,outside_10pct,True
F,point_lookup_latency_p99_us,4669.439,4032.511,-13.640353798389915,outside_10pct,True
F,point_lookup_hit_latency_p50_us,658.943,599.551,-9.013222691492274,within_10pct,False
F,point_lookup_hit_latency_p95_us,2752.511,2269.183,-17.559530188980165,outside_10pct,False
F,point_lookup_hit_latency_p99_us,4141.055,3583.999,-13.452030943805394,outside_10pct,False
F,point_lookup_miss_latency_p50_us,2018.303,1512.447,-25.0634320020334,outside_10pct,False
F,point_lookup_miss_latency_p95_us,3770.367,3149.823,-16.458450861680053,outside_10pct,False
F,point_lookup_miss_latency_p99_us,7098.367,6041.599,-14.88748045853363,outside_10pct,False
F,scan_latency_p50_us,0.0,0.0,,undefined_zero_baseline,False
F,scan_latency_p95_us,0.0,0.0,,undefined_zero_baseline,False
F,scan_latency_p99_us,0.0,0.0,,undefined_zero_baseline,False
F,disk_read_latency_avg_ms,0.12779747721162443,0.13161299706247825,2.985598725501881,within_10pct,False
F,disk_write_latency_avg_ms,0.4438139258174496,0.37814180317619106,-14.797219920555381,outside_10pct,False
MIXGRAPH,throughput_ops_per_second,42450.105327,45134.020684,6.322517544598227,within_10pct,True
MIXGRAPH,point_reads,10571774,11240455,6.325154132125799,within_10pct,False
MIXGRAPH,writes,1781575,1893487,6.281632824888095,within_10pct,False
MIXGRAPH,scans,382132,406470,6.369003381030636,within_10pct,False
MIXGRAPH,point_read_hits,7663099,8320594,8.580014430193316,within_10pct,False
MIXGRAPH,point_read_misses,2908675,2919861,0.3845737320257614,within_10pct,False
MIXGRAPH,point_hit_fraction,0.724864057820381,0.7402364050209711,2.1207214007566755,within_10pct,False
MIXGRAPH,disk_read_bytes,894923771904,735147945984,-17.853568196101,outside_10pct,True
MIXGRAPH,disk_write_bytes,296685568,298930176,0.7565612359007545,within_10pct,True
MIXGRAPH,disk_read_bytes_per_operation,70270.1195113086,54292.87867931936,-22.736891502536892,outside_10pct,False
MIXGRAPH,disk_write_bytes_per_operation,23.295984501881005,22.076889240888683,-5.23307036409596,within_10pct,False
MIXGRAPH,scan_requested_rows,217098084,231220125,6.504912774817484,within_10pct,False
MIXGRAPH,scan_returned_rows,216901341,231039549,6.518266754284374,within_10pct,False
MIXGRAPH,scan_returned_bytes,186859291600,198357683590,6.153502933433996,within_10pct,False
