run,level,key_min,key_max,estimated_keys,emitted_keys,segments,sketch_samples
run-compaction-4-shard-0,2,531615,667589,89748,89748,1254,287
run-compaction-4-shard-1,2,667590,786239,75060,75060,1125,328
run-compaction-4-shard-2,2,786240,919615,90196,90196,1234,338
run-compaction-4-shard-3,2,919616,1048575,80169,80169,1210,307
run-compaction-5-shard-0,2,0,133559,86540,86540,1256,321
run-compaction-5-shard-1,2,133560,267329,90473,90473,1239,254
run-compaction-5-shard-2,2,267330,398369,88439,88439,1192,303
run-compaction-5-shard-3,2,398370,531614,87128,87128,1222,275
